Comment,Description,Designator,Footprint,LibRef,Quantity

"CL10A106MP8NNNC","Cap Ceramic 10uF 10V X5R ±20% Pad SMD 0603 +85°C T/R","C1, C6, C9, C16","FP-CL10-IPC_B","CMP-13271-003248-1","4"
"GRM188R71H104KA93D","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C2, C10, C11, C12, C14, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28","CAPC1608X90X35ML10T15","CMP-2100-03643-1","17"
"C1608X5R1H105K080AB","Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603","C3, C5, C7, C8","FP-C1608-080-0_1-IPC_B","CMP-2000-06025-2","4"
"CL10A475KP8NNNC","Cap Ceramic 4.7uF 10V X5R ±10% Pad SMD 0603 +85°C T/R","C4, C15","FP-CL10-IPC_C","CMP-13271-003017-1","2"
"1N4148W-7-F","Fast Switching Diode, 100 V, 0.15 A, -65 to 150 degC, 2-Pin?SOD123, RoHS, Tape and Reel","D1, D3, D4","DIOD-SOD123-2_V","CMP-2000-04932-2","3"
"CDBA240LL-HF","DIODE SCHOTTKY 40V 2A DO214AC","D2","FP-DO-214AC-MFG","CMP-20227-000006-1","1"
"BQ7693003DBTR","Power Supply Support Circuit, Adjustable, 1 Channel, PDSO30","IC2","Texas Instruments TSSOP-30 7.8X4.4MM","Texas instruments BQ7693003DBTR","1"
"ESP32-C3-WROOM-02-N4","Integrated Circuit","IC3","Espressif ESP32C3WROOM02N4","Espressif ESP32-C3-WROOM-02-N4","1"
"LMR16006XDDCR","Integrated Circuit","IC4","Texas InstrumentsSOT95P280X110-6N","Texas Instruments LMR16006XDDCR","1"
"B2B-XH-A(LF)(SN)","CONN HEADER VERT 2POS 2.5MM","J1, J2","FP-B2B-XH-A_LF_SN-MFG","CMP-2000-05888-3","2"
"22-28-4060","CONN HEADER VERT 6POS 2.54MM","J3","FP-22-28-4060-MFG","CMP-04776-000763-1","1"
"S11B-PH-K-S_LF__SN_","Connector","J4","S11BPHKSLFSN","S11B-PH-K-S_LF__SN_","1"
"Solder pad","","J5, J6","Solder Pad 4X5MM","Solder pad","2"
"3 pin header","","J7","3 pin header 2.54mm","3 pin header","1"
"1 pin header","","J9","1 pin header","1 pin header","1"
"COILS SMTDR54-270M","","L1","3L COILS 5.2X5.8MM","3L COILS SMTDR54-270M inductor","1"
"BSS123","N-Channel Logic Level Enhancement Mode Field Effect Transistor, 1.7 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel","Q1","FAIR-SOT23-3_V","CMP-2000-04934-1","1"
"AO3407A","MOSFET (P-Channel)","Q2","UMW SOT23-3","UMW AO3407A","1"
"MDT18N20","VDS = 200V,ID = 18A, VGS=30V","Q3","Minos TO-252-2L 6.3X9.6MM","Minos MDT18N20","1"
"SI2310B-TP","Power Field-Effect Transistor","Q4","MCC SOT-23-3","MCC SI2310B-TP","1"
"DMN2004K-7","MOSFET N-CH 20V 0.63A SOT23-3","Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14","Diodes SOT23-3","Diodes DMN2004K-7","10"
"CRCW060310K0FKEA","Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel, Chip Resistor, 100 kOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel, Chip Resistor, 100 Ohm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel, Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel, Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R1, R3, R5, R6, R7, R8, R9, R10, R11, R12, R13, R22, R25, R27, R28, R30, R31, R33, R34, R36, R37, R39, R40, R42, R43, R45, R46, R48, R49, R51, R52, R54, R55, R56","RESC1609X50X30NL8T20","CMP-1666-00005-4","34"
"Generic Resistor 10k 0603","","R2, R4, R18","Uni Royal 0603 Resistor","Generic Resistor 10k 0603","3"
"ERJ-M1WSF5M0U","RES 0.005 OHM 1% 1W 2512","R14","FP-ERJM1WS-MFG","CMP-05422-000103-1","1"
"RC0603FR-072K2L","Thick Film Resistor, 2.2 KOhm, 100 mW, 50 V, +/- 1%, -55 to 155 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","R15, R16","RESC1608X55X25LL10T15","CMP-2000-06934-1","2"
"Generic Resistor 330R 0603","","R17","Uni Royal 0603 Resistor","Generic Resistor 330R 0603","1"
"0603WAF2702T5E","Resistor 88.7k, Resistor 27k","R23, R24","Uni Royal 0603 Resistor","Uni- Royal 0603WAF2702T5E","2"
"FRC2010F33R0TS","33ohm ±1% 200V ±100ppm/? , 750mW, 1010","R26, R29, R32, R35, R38, R41, R44, R47, R50, R53","FOJAN 2010 Resistor","FOJAN FRC2010F33R0TS","10"
"MMSZ5232BS-7-F","Zener Diode","Z1, Z2, Z3, Z4, Z5, Z6, Z7, Z8, Z9, Z10","Diodes SOD-323","Diodes MMSZ5232BS-7-F","10"
